id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled,trenord_id,cercanias_id,cercanias_hub_id,cercanias_is_enabled
1,Château-Arnoux – St-Auban,Chateau-Arnoux - St-Auban,NA,44.08179,6.001625,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
2,Château-Arnoux – St-Auban,Chateau-Arnoux - St-Auban,8775123,44.061565,5.997373,1,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
3,Château-Arnoux Mairie,Chateau-Arnoux Mairie,8775122,44.063863,6.011248,1,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
4,Digne-les-Bains,Digne-les-Bains,NA,44.35,6.35,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
6,Digne-les-Bains,Digne-les-Bains,8775149,44.08871,6.222982,4,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
7,La Crau,La Crau,8775561,43.144935,6.068766,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
8,Aire-sur-l’Adour,Aire-sur-l'Adour,8767104,43.703854,-0.258269,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
9,Cagnes-sur-Mer,Cagnes-sur-Mer,8775632,43.65813,7.14864,5768,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
10,Menton,Menton,NA,43.776486,7.504349,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
11,Menton,Menton,8775648,43.774444,7.4933,10,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
12,Menton – Garavan,Menton - Garavan,8775649,43.785202,7.517297,10,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
16,Vievola,Vievola,NA,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
17,Vievola,Vievola,8300618,NA,NA,16,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
18,Vievola,Vievola,8775689,44.112556,7.562798,16,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
19,Mandelieu-la-Napoule,Mandelieu-la-Napoule,8775759,43.523903,6.941313,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
23,Decazeville,Decazeville,NA,44.55,2.25,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
24,Decazeville Centre,Decazeville Centre,8761367,44.561434,2.255896,23,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
25,Viviez – Decazeville,Viviez - Decazeville,8761366,44.555568,2.218258,23,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
26,Decazeville Fontvergne,Decazeville Fontvergne,8761369,44.555635,2.263741,23,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
27,St-Sever Calvados,St-Sever Calvados,NA,48.833333,-1.033333,29,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
28,St-Sever Centre,St-Sever Centre,8741929,48.839517,-1.049283,29,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
29,St-Sever Calvados,St-Sever Calvados,8744771,48.843608,-1.051698,NA,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
30,Vire,Vire,NA,48.83897,-0.88928,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
